SEASON_ID,GAME_ID,GAME_DATE,TEAM_A,TEAM_B,MATCHUP,WON,FG_PCT_DIFF,FG_PCT_A,FG3_PCT_DIFF,FG3_PCT_A,FT_PCT_DIFF,FT_PCT_A,REB_DIFF,REB_A,AST_DIFF,AST_A,STL_DIFF,STL_A,TOV_DIFF,TOV_A,PF_DIFF,PF_A
42019,41900406,10/11/20,MIA,LAL,MIA vs. LAL,0,-0.04,0.443,0.043,0.357,-0.052,0.591,-5,41,2,25,-1,4,1,13,-4,18
42019,41900405,10/9/20,LAL,MIA,LAL vs. MIA,0,0.005,0.463,-0.056,0.368,-0.098,0.857,6,41,-5,21,3,10,2,15,2,21
42019,41900404,10/6/20,MIA,LAL,MIA vs. LAL,0,-0.016,0.427,-0.015,0.344,-0.049,0.808,-3,39,-7,18,3,8,-4,11,7,21
42019,41900403,10/4/20,MIA,LAL,MIA vs. LAL,1,0.083,0.513,0.02,0.353,0.154,0.913,-6,37,2,25,0,8,-7,12,1,23
42019,41900402,10/2/20,LAL,MIA,LAL vs. MIA,1,-0.002,0.505,-0.067,0.34,-0.324,0.588,7,44,3,32,4,6,0,9,3,26
42019,41900401,9/30/20,LAL,MIA,LAL vs. MIA,1,0.025,0.452,0.081,0.395,0.14,0.926,18,54,3,26,3,7,4,12,4,19
42019,41900306,9/27/20,MIA,BOS,MIA vs. BOS,1,0.129,0.563,0.155,0.481,0.046,0.846,-2,40,4,30,-1,6,2,12,-8,13
42019,41900315,9/26/20,LAL,DEN,LAL vs. DEN,1,0.123,0.545,0.108,0.375,-0.057,0.828,7,43,1,24,1,6,2,13,1,26
42019,41900305,9/25/20,BOS,MIA,BOS vs. MIA,1,-0.001,0.452,0.122,0.316,0.069,0.862,12,50,2,29,4,7,-1,11,-6,23
42019,41900314,9/24/20,DEN,LAL,DEN vs. LAL,0,0.031,0.506,0.024,0.357,0.07,0.87,-8,33,-1,22,-5,4,2,11,3,28
